NAME                                                     VERSION               RELEASE               ARCH        VENDOR                          GROUP
Slack                                                    2.8.0                 ?                     Intel       ?                               ?                   
Steam                                                    1.5                   ?                     Intel       ?                               ?                   
Box Sync                                                 4.0.7848              ?                     Intel       ?                               ?                   
Splunk                                                   4.0.7848              ?                     Intel       ?                               ?                   
HipChat                                                  4.30.0                ?                     Intel       ?                               ?                   
Gliffy Diagrams                                          1.0.31                ?                     Intel       ?                               ?                   
Install Spotify                                          1.0                   ?                     Intel       ?                               ?                   
Safari                                                   11.0                  ?                     Intel       ?                               ?                   
Splunk                                                   11.0                  ?                     Intel       ?                               ?                   
Uninstall                                                32.2.0                ?                     Intel       ?                               ?                   
WebExPluginAgent                                         32.2.0                ?                     Intel       ?                               ?                   
WebEx Productivity Tools                                 32.2.0                ?                     Intel       ?                               ?                   
Paddington 3S West Ricoh                                 12.4                  ?                     Intel       ?                               ?                   
Microsoft OneNote                                        15.33                 ?                     Intel       ?                               ?                   
Microsoft PowerPoint                                     15.33                 ?                     Intel       ?                               ?                   
Microsoft Excel                                          15.33                 ?                     Intel       ?                               ?                   
Microsoft Word                                           15.33                 ?                     Intel       ?                               ?                   
Backdrop                                                 2.4                   ?                     Intel       ?                               ?                   
Blue Jeans                                               1.26.83               ?                     Intel       ?                               ?                   
GlobalProtect                                            4.0.0-90              ?                     Intel       ?                               ?                   
Splunk                                                   4.0.0-90              ?                     Intel       ?                               ?                   
VLC                                                      2.2.4                 ?                     Intel       ?                               ?                   
Plex Media Player                                        1.2.3.589-59a54305    ?                     Intel       ?                               ?                   
Self Service                                             9.97.1488392992       ?                     Intel       ?                               ?                   
Cyberduck                                                5.4.0                 ?                     Intel       ?                               ?                   
GitHub Desktop                                           Deer                  ?                     Intel       ?                               ?                   
Style Builder                                            17.2                  ?                     Intel       ?                               ?                   
SketchUp                                                 17.2                  ?                     Intel       ?                               ?                   
LayOut                                                   17.2                  ?                     Intel       ?                               ?                   
Splunk                                                   17.2                  ?                     Intel       ?                               ?                   
Atom                                                     1.14.4                ?                     Intel       ?                               ?                   
Splunk                                                   1.14.4                ?                     Intel       ?                               ?                   
Splunk                                                   1.14.4                ?                     Intel       ?                               ?                   
iTerm                                                    3.0.14                ?                     Intel       ?                               ?                   
iTerm                                                    3.0.14                ?                     Intel       ?                               ?                   
VirtualBox                                               5.1.14                ?                     Intel       ?                               ?                   
Kitematic (Beta)                                         0.13.0                ?                     Intel       ?                               ?                   
Docker Quickstart Terminal                               1.3.0                 ?                     Intel       ?                               ?                   
Skype                                                    7.46                  ?                     Intel       ?                               ?                   
Colossus                                                 1.2                   ?                     Intel       ?                               ?                   
BetterSnapTool                                           1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
Splunk                                                   1.7                   ?                     Intel       ?                               ?                   
CrashPlan                                                5.3.1                 ?                     Intel       ?                               ?                   
Enterprise Connect                                       1.6.4                 ?                     Intel       ?                               ?                   
Google Chrome                                            61.0.3163.100         ?                     Intel       ?                               ?                   
iBooks                                                   1.10                  ?                     Intel       ?                               ?                   
VoiceOver Utility                                        7.0                   ?                     Intel       ?                               ?                   
Terminal                                                 2.7.3                 ?                     Intel       ?                               ?                   
System Information                                       10.12                 ?                     Intel       ?                               ?                   
Script Editor                                            2.9                   ?                     Intel       ?                               ?                   
Migration Assistant                                      10.12                 ?                     Intel       ?                               ?                   
Keychain Access                                          9.0                   ?                     Intel       ?                               ?                   
Grapher                                                  2.5                   ?                     Intel       ?                               ?                   
Grab                                                     1.9                   ?                     Intel       ?                               ?                   
Disk Utility                                             16.3                  ?                     Intel       ?                               ?                   
Digital Color Meter                                      5.11                  ?                     Intel       ?                               ?                   
MRT                                                      1.23                  ?                     Intel       ?                               ?                   
Splunk SEAL                                              0.4.4.5               ?                     Intel       ?                               ?                   
WebKitPluginHost                                         12604                 ?                     Intel       ?                               ?                   
Network Recording Player                                 2.2.0                 ?                     Intel       ?                               ?                   
AppleMobileSync                                          5.0                   ?                     Intel       ?                               ?                   
AppleMobileDeviceHelper                                  5.0                   ?                     Intel       ?                               ?                   
Cisco WebEx Event Center                                 1707.28.3205.0        ?                     Intel       ?                               ?                   
Cisco WebEx Meeting Center                               1701.17.3111.0        ?                     Intel       ?                               ?                   
Cisco WebEx Meeting Center                               1708.11.3205.1        ?                     Intel       ?                               ?                   
atmsupload                                               1707.14.3205.0        ?                     Intel       ?                               ?                   
Cisco WebEx Start                                        0.6.0                 ?                     Intel       ?                               ?                   
Steam Helper                                             31.0.1650.57          ?                     Intel       ?                               ?                   
Steam Helper EH                                          31.0.1650.57          ?                     Intel       ?                               ?                   
HTML5App                                                 1.0.0.0               ?                     Intel       ?                               ?                   
crash_report_sender                                      1.0                   ?                     Intel       ?                               ?                   
Crash Reporter                                           1.0                   ?                     Intel       ?                               ?                   
Gliffy Diagrams                                          1.0.31                ?                     Intel       ?                               ?                   
MiniTerm                                                 1.9                   ?                     Intel       ?                               ?                   
UASharedPasteboardProgressUI                             54.1                  ?                     Intel       ?                               ?                   
universalAccessAuthWarn                                  1.0                   ?                     Intel       ?                               ?                   
UniversalAccessHUD                                       1.0                   ?                     Intel       ?                               ?                   
