   PID  USER              PR    NI    VIRT     RES     SHR   S  pctCPU  pctMEM       cpuTIME  COMMAND
   347  _softwareupdate     ?     ?     N/A   1020K       ?   ?     0.0       ?      12:31.19  softwareupdated
    50  root               ?     ?     N/A   2408K       ?   ?     0.0       ?      07:23.94  UserEventAgent
  1004  jbjerke            ?     ?     N/A   1892K       ?   ?     0.0       ?      06:38.37  Google
  1003  jbjerke            ?     ?     N/A   7148K       ?   ?     0.0       ?      05:28.73  Google
    52  root               ?     ?     N/A    896K       ?   ?     0.0       ?      04:54.30  kextd
  1013  jbjerke            ?     ?     N/A   5520K       ?   ?     0.0       ?      04:15.08  Google
  1020  jbjerke            ?     ?     N/A   3108K       ?   ?     0.0       ?      03:37.55  Google
   303  root               ?     ?     N/A    472K       ?   ?     0.0       ?      03:37.02  corestoraged
  5015  root               ?     ?     N/A    388K       ?   ?     0.0       ?      02:48.39  installd
 15280  root               ?     ?     N/A   2472K       ?   ?     0.0       ?      02:15.95  sysmond
  1018  jbjerke            ?     ?     N/A     13M       ?   ?     0.0       ?      00:43.08  Google
  1019  jbjerke            ?     ?     N/A     16M       ?   ?     0.0       ?      00:42.60  Google
  6510  jbjerke            ?     ?     N/A   3412K       ?   ?     0.0       ?      00:42.56  TextWrangler
  1024  jbjerke            ?     ?     N/A   7640K       ?   ?     0.0       ?      00:38.01  Google
 14000  jbjerke            ?     ?     N/A   2072K       ?   ?     0.0       ?      00:33.67  App
    65  root               ?     ?     N/A   1660K       ?   ?     0.0       ?      00:28.12  airportd
  1070  jbjerke            ?     ?     N/A   1048K       ?   ?     0.0       ?      00:26.02  storedownloadd
   803  jbjerke            ?     ?     N/A   6848K       ?   ?     0.0       ?      00:24.86  distnoted
 29111  jbjerke            ?     ?     N/A   4640K       ?   ?     0.0       ?      00:22.55  Spotify
    96  root               ?     ?     N/A   1440K       ?   ?     0.0       ?      00:22.28  blued
   853  jbjerke            ?     ?     N/A   2236K       ?   ?     0.0       ?      00:17.83  fontd
    89  root               ?     ?     N/A   1584K       ?   ?     0.0       ?      00:17.77  securityd
    61  root               ?     ?     N/A    772K       ?   ?     0.0       ?      00:16.97  powerd
  5959  jbjerke            ?     ?     N/A   1828K       ?   ?     0.0       ?      00:16.43  Preview
 15359  jbjerke            ?     ?     N/A   4364K       ?   ?     0.0       ?      00:16.11  Activity
 21294  jbjerke            ?     ?     N/A   6012K       ?   ?     0.0       ?      00:15.31  mdworker
  1006  jbjerke            ?     ?     N/A    520K       ?   ?     0.0       ?      00:14.42  AppleSpell
 22347  jbjerke            ?     ?     N/A   4724K       ?   ?     0.0       ?      00:13.74  mdworker
 14007  jbjerke            ?     ?     N/A   1632K       ?   ?     0.0       ?      00:13.23  com.apple.WebKit
 22528  jbjerke            ?     ?     N/A   3376K       ?   ?     0.0       ?      00:13.22  mdworker
  1017  jbjerke            ?     ?     N/A   7724K       ?   ?     0.0       ?      00:12.90  Google
 22346  jbjerke            ?     ?     N/A   5116K       ?   ?     0.0       ?      00:12.70  mdworker
   885  jbjerke            ?     ?     N/A   3364K       ?   ?     0.0       ?      00:11.79  Folder
   827  jbjerke            ?     ?     N/A   1688K       ?   ?     0.0       ?      00:11.41  CalendarAgent
 10830  jbjerke            ?     ?     N/A   2108K       ?   ?     0.0       ?      00:11.37  OmniGraffle
   858  jbjerke            ?     ?     N/A   2680K       ?   ?     0.0       ?      00:10.99  sharingd
  1015  jbjerke            ?     ?     N/A   5092K       ?   ?     0.0       ?      00:10.53  Google
  1023  jbjerke            ?     ?     N/A   1860K       ?   ?     0.0       ?      00:10.42  Google
   801  jbjerke            ?     ?     N/A   1808K       ?   ?     0.0       ?      00:09.59  UserEventAgent
   851  jbjerke            ?     ?     N/A   1856K       ?   ?     0.0       ?      00:09.56  Spotlight
  1060  jbjerke            ?     ?     N/A   1416K       ?   ?     0.0       ?      00:09.02  storeassetd
   809  jbjerke            ?     ?     N/A   1020K       ?   ?     0.0       ?      00:08.21  mdmclient
  1068  root               ?     ?     N/A     12K       ?   ?     0.0       ?      00:07.89  AppleCameraAssis
 15362  root               ?     ?     N/A    360K       ?   ?     0.0       ?      00:07.83  spindump
 16676  jbjerke            ?     ?     N/A   4952K       ?   ?     0.0       ?      00:07.57  Google
  1021  jbjerke            ?     ?     N/A   1644K       ?   ?     0.0       ?      00:07.02  Google
 30922  root               ?     ?     N/A   3124K       ?   ?     0.0       ?      00:05.99  systemstats
   865  jbjerke            ?     ?     N/A   2548K       ?   ?     0.0       ?      00:05.93  identityservices
  1022  jbjerke            ?     ?     N/A   2860K       ?   ?     0.0       ?      00:05.71  Google
  7097  jbjerke            ?     ?     N/A   1636K       ?   ?     0.0       ?      00:05.62  System
   151  root               ?     ?     N/A    292K       ?   ?     0.0       ?      00:05.52  authd
   940  jbjerke            ?     ?     N/A   1020K       ?   ?     0.0       ?      00:04.85  storeaccountd
    56  root               ?     ?     N/A   2100K       ?   ?     0.0       ?      00:04.67  jamf
    84  root               ?     ?     N/A    724K       ?   ?     0.0       ?      00:04.42  wirelessproxd
   891  jbjerke            ?     ?     N/A    904K       ?   ?     0.0       ?      00:04.40  cloudpaird
   813  jbjerke            ?     ?     N/A    372K       ?   ?     0.0       ?      00:04.40  usernoted
    86  root               ?     ?     N/A   1888K       ?   ?     0.0       ?      00:04.14  apsd
   804  jbjerke            ?     ?     N/A    888K       ?   ?     0.0       ?      00:04.08  universalaccessd
  1458  jbjerke            ?     ?     N/A   1520K       ?   ?     0.0       ?      00:03.85  AAM
  1050  jbjerke            ?     ?     N/A    284K       ?   ?     0.0       ?      00:03.79  mdflagwriter
  1038  jbjerke            ?     ?     N/A   1156K       ?   ?     0.0       ?      00:03.77  SpotlightNetHelp
   910  root               ?     ?     N/A    304K       ?   ?     0.0       ?      00:03.75  diskmanagementd
    76  root               ?     ?     N/A    388K       ?   ?     0.0       ?      00:03.49  diskarbitrationd
   297  root               ?     ?     N/A     12K       ?   ?     0.0       ?      00:03.47  usbd
   822  jbjerke            ?     ?     N/A    764K       ?   ?     0.0       ?      00:03.47  ARDAgent
    91  _locationd         ?     ?     N/A   1216K       ?   ?     0.0       ?      00:03.41  locationd
    78  root               ?     ?     N/A   1012K       ?   ?     0.0       ?      00:02.81  mdmclient
  1026  jbjerke            ?     ?     N/A   1580K       ?   ?     0.0       ?      00:02.76  Google
   985  jbjerke            ?     ?     N/A   1376K       ?   ?     0.0       ?      00:02.75  MeetingCenter
   290  _networkd          ?     ?     N/A    964K       ?   ?     0.0       ?      00:02.74  networkd
  1029  jbjerke            ?     ?     N/A   3552K       ?   ?     0.0       ?      00:02.70  Google
   889  jbjerke            ?     ?     N/A    564K       ?   ?     0.0       ?      00:02.67  SpotifyWebHelper
   898  jbjerke            ?     ?     N/A   1620K       ?   ?     0.0       ?      00:02.38  diagnostics_agen
  5517  jbjerke            ?     ?     N/A   1548K       ?   ?     0.0       ?      00:02.38  EvernoteHelper
 20112  _netbios           ?     ?     N/A    560K       ?   ?     0.0       ?      00:02.24  netbiosd
   353  root               ?     ?     N/A    308K       ?   ?     0.0       ?      00:02.22  suhelperd
   894  jbjerke            ?     ?     N/A   1192K       ?   ?     0.0       ?      00:01.99  ReceiverHelper
  1027  jbjerke            ?     ?     N/A   1408K       ?   ?     0.0       ?      00:01.97  Google
   897  jbjerke            ?     ?     N/A   1088K       ?   ?     0.0       ?      00:01.97  WiFiAgent
   117  _distnote          ?     ?     N/A   8192B       ?   ?     0.0       ?      00:01.93  distnoted
   936  jbjerke            ?     ?     N/A   1312K       ?   ?     0.0       ?      00:01.93  VMware
  1025  jbjerke            ?     ?     N/A   1572K       ?   ?     0.0       ?      00:01.87  Google
  5966  jbjerke            ?     ?     N/A   1132K       ?   ?     0.0       ?      00:01.53  Image
   105  root               ?     ?     N/A     68K       ?   ?     0.0       ?      00:01.50  revisiond
   984  jbjerke            ?     ?     N/A   1372K       ?   ?     0.0       ?      00:01.37  Box
   890  jbjerke            ?     ?     N/A   1032K       ?   ?     0.0       ?      00:01.36  imagent
   346  root               ?     ?     N/A     32K       ?   ?     0.0       ?      00:01.14  com.apple.Ambien
  6562  jbjerke            ?     ?     N/A   1424K       ?   ?     0.0       ?      00:01.06  nbagent
   981  jbjerke            ?     ?     N/A   1184K       ?   ?     0.0       ?      00:01.01  Box
  1637  jbjerke            ?     ?     N/A   1092K       ?   ?     0.0       ?      00:01.00  Backdrop
   869  jbjerke            ?     ?     N/A    872K       ?   ?     0.0       ?      00:00.91  com.apple.wifi.p
   868  jbjerke            ?     ?     N/A   1032K       ?   ?     0.0       ?      00:00.90  com.apple.dock.e
   342  root               ?     ?     N/A    616K       ?   ?     0.0       ?      00:00.87  dspluginhelperd
   322  root               ?     ?     N/A     48K       ?   ?     0.0       ?      00:00.86  watchdogd
 29472  jbjerke            ?     ?     N/A   1748K       ?   ?     0.0       ?      00:00.76  mdworker32
  1067  jbjerke            ?     ?     N/A   1060K       ?   ?     0.0       ?      00:00.75  LaterAgent
    67  root               ?     ?     N/A    488K       ?   ?     0.0       ?      00:00.69  warmd
   311  root               ?     ?     N/A   8192B       ?   ?     0.0       ?      00:00.69  CVMServer
 14010  jbjerke            ?     ?     N/A   1076K       ?   ?     0.0       ?      00:00.66  storeuid
    60  _appleevents       ?     ?     N/A    980K       ?   ?     0.0       ?      00:00.60  appleeventsd
 30663  root               ?     ?     N/A   1272K       ?   ?     0.0       ?      00:00.58  cfprefsd
   875  jbjerke            ?     ?     N/A   1016K       ?   ?     0.0       ?      00:00.55  Keychain
  1187  jbjerke            ?     ?     N/A    656K       ?   ?     0.0       ?      00:00.55  Microsoft
   850  root               ?     ?     N/A    852K       ?   ?     0.0       ?      00:00.54  TMCacheDelete
   902  jbjerke            ?     ?     N/A    988K       ?   ?     0.0       ?      00:00.51  ServiceRecords
 11921  jbjerke            ?     ?     N/A   8192B       ?   ?     0.0       ?      00:00.50  com.apple.speech
   926  jbjerke            ?     ?     N/A    824K       ?   ?     0.0       ?      00:00.44  TISwitcher
 30666  jbjerke            ?     ?     N/A   1072K       ?   ?     0.0       ?      00:00.43  lsuseractivityd
   866  root               ?     ?     N/A    392K       ?   ?     0.0       ?      00:00.37  filecoordination
   873  jbjerke            ?     ?     N/A    320K       ?   ?     0.0       ?      00:00.36  SocialPushAgent
 30667  jbjerke            ?     ?     N/A   1240K       ?   ?     0.0       ?      00:00.32  cfprefsd
   787  root               ?     ?     N/A     12K       ?   ?     0.0       ?      00:00.27  securityd_servic
 31882  jbjerke            ?     ?     N/A     48K       ?   ?     0.0       ?      00:00.23  pkd
  1419  jbjerke            ?     ?     N/A    304K       ?   ?     0.0       ?      00:00.22  USBAgent
 30661  jbjerke            ?     ?     N/A   1648K       ?   ?     0.0       ?      00:00.22  nsurlstoraged
    98  root               ?     ?     N/A    288K       ?   ?     0.0       ?      00:00.21  kdc
 22662  jbjerke            ?     ?     N/A    984K       ?   ?     0.0       ?      00:00.21  universalAccessA
   337  root               ?     ?     N/A   4096B       ?   ?     0.0       ?      00:00.20  SubmitDiagInfo
 30665  jbjerke            ?     ?     N/A    356K       ?   ?     0.0       ?      00:00.20  soagent
 31928  root               ?     ?     N/A    324K       ?   ?     0.0       ?      00:00.18  sandboxd
   887  jbjerke            ?     ?     N/A    276K       ?   ?     0.0       ?      00:00.18  askpermissiond
  5961  root               ?     ?     N/A   8192B       ?   ?     0.0       ?      00:00.17  syspolicyd
 30364  _spotlight         ?     ?     N/A   1352K       ?   ?     0.0       ?      00:00.17  mdworker
 30673  jbjerke            ?     ?     N/A    740K       ?   ?     0.0       ?      00:00.15  pbs
  1051  root               ?     ?     N/A   4096B       ?   ?     0.0       ?      00:00.15  mdflagwriter
 30554  jbjerke            ?     ?     N/A     52K       ?   ?     0.0       ?      00:00.15  thnuclnt
    95  root               ?     ?     N/A    320K       ?   ?     0.0       ?      00:00.13  autofsd
    72  SonosDMS           ?     ?     N/A    256K       ?   ?     0.0       ?      00:00.13  SonosLibraryServ
 30548  jbjerke            ?     ?     N/A    460K       ?   ?     0.0       ?      00:00.12  thnuclnt
  1056  jbjerke            ?     ?     N/A     12K       ?   ?     0.0       ?      00:00.12  storelegacy
 19859  jbjerke            ?     ?     N/A     28K       ?   ?     0.0       ?      00:00.12  iTunesHelper
 21306  splunkinc          ?     ?     N/A     16K       ?   ?     0.0       ?      00:00.11  mdworker
 30715  root               ?     ?     N/A    624K       ?   ?     0.0       ?      00:00.10  cupsd
   334  root               ?     ?     N/A     12K       ?   ?     0.0       ?      00:00.10  CrashReporterSup
   319  root               ?     ?     N/A   8192B       ?   ?     0.0       ?      00:00.10  SymSharedSetting
   106  root               ?     ?     N/A     12K       ?   ?     0.0       ?      00:00.09  logind
   190  root               ?     ?     N/A    280K       ?   ?     0.0       ?      00:00.09  com.apple.ctkpcs
 20855  jbjerke            ?     ?     N/A     20K       ?   ?     0.0       ?      00:00.09  AirPort
 10293  jbjerke            ?     ?     N/A    244K       ?   ?     0.0       ?      00:00.09  bash
  4159  jbjerke            ?     ?     N/A    288K       ?   ?     0.0       ?      00:00.08  DiskUnmountWatch
   713  _spotlight         ?     ?     N/A     12K       ?   ?     0.0       ?      00:00.08  mdworker
 30784  root               ?     ?     N/A    896K       ?   ?     0.0       ?      00:00.08  systemstatsd
 19894  _usbmuxd           ?     ?     N/A     12K       ?   ?     0.0       ?      00:00.07  usbmuxd
   996  jbjerke            ?     ?     N/A    280K       ?   ?     0.0       ?      00:00.07  crashpad_handler
   999  jbjerke            ?     ?     N/A    284K       ?   ?     0.0       ?      00:00.07  crashpad_handler
 31304  root               ?     ?     N/A    768K       ?   ?     0.0       ?      00:00.07  ocspd
 32838  root               ?     ?     N/A    948K       ?   ?     0.0       ?      00:00.06  amfid
 21704  jbjerke            ?     ?     N/A     36K       ?   ?     0.0       ?      00:00.06  mdworker
  6576  root               ?     ?     N/A     12K       ?   ?     0.0       ?      00:00.05  nbstated
  6512  jbjerke            ?     ?     N/A     12K       ?   ?     0.0       ?      00:00.05  crash-catcher
 31140  root               ?     ?     N/A    808K       ?   ?     0.0       ?      00:00.04  deleted
 30668  jbjerke            ?     ?     N/A    252K       ?   ?     0.0       ?      00:00.04  secinitd
   104  root               ?     ?     N/A     12K       ?   ?     0.0       ?      00:00.04  stackshot
 31437  jbjerke            ?     ?     N/A    300K       ?   ?     0.0       ?      00:00.04  accountsd
 33095  _spotlight         ?     ?     N/A   2392K       ?   ?     0.0       ?      00:00.04  mdworker
 10303  jbjerke            ?     ?     N/A    140K       ?   ?     0.0       ?      00:00.04  bash
 31941  jbjerke            ?     ?     N/A    392K       ?   ?     0.0       ?      00:00.03  iconservicesagen
 21529  root               ?     ?     N/A     16K       ?   ?     0.0       ?      00:00.03  vmnet-bridge
 30672  root               ?     ?     N/A    388K       ?   ?     0.0       ?      00:00.03  com.apple.Perfor
 30660  _nsurlstoraged     ?     ?     N/A    320K       ?   ?     0.0       ?      00:00.03  nsurlstoraged
 31443  root               ?     ?     N/A    264K       ?   ?     0.0       ?      00:00.03  tccd
 31943  _iconservices      ?     ?     N/A    228K       ?   ?     0.0       ?      00:00.02  iconservicesd
   108  root               ?     ?     N/A   8192B       ?   ?     0.0       ?      00:00.02  KernelEventAgent
 21283  jbjerke            ?     ?     N/A     24K       ?   ?     0.0       ?      00:00.02  helpd
 31930  root               ?     ?     N/A    320K       ?   ?     0.0       ?      00:00.02  coresymbolicatio
 30669  jbjerke            ?     ?     N/A    280K       ?   ?     0.0       ?      00:00.01  tccd
 21549  root               ?     ?     N/A    240K       ?   ?     0.0       ?      00:00.01  vmnet-dhcpd
 31617  root               ?     ?     N/A    256K       ?   ?     0.0       ?      00:00.01  com.apple.Accoun
 30676  root               ?     ?     N/A    432K       ?   ?     0.0       ?      00:00.01  com.apple.CodeSi
    73  root               ?     ?     N/A   4096B       ?   ?     0.0       ?      00:00.01  TBLoopDriveParam
   848  jbjerke            ?     ?     N/A     24K       ?   ?     0.0       ?      00:00.01  pboard
 33223  jbjerke            ?     ?     N/A    620K       ?   ?     0.0       ?      00:00.00  sh
 30671  root               ?     ?     N/A    272K       ?   ?     0.0       ?      00:00.00  diagnosticd
 21541  root               ?     ?     N/A     76K       ?   ?     0.0       ?      00:00.00  vmnet-dhcpd
 30872  root               ?     ?     N/A     12K       ?   ?     0.0       ?      00:00.00  networkd_privile
 10298  jbjerke            ?     ?     N/A   4096B       ?   ?     0.0       ?      00:00.00  bash
 21470  jbjerke            ?     ?     N/A   8192B       ?   ?     0.0       ?      00:00.00  VMware
 30550  jbjerke            ?     ?     N/A   8192B       ?   ?     0.0       ?      00:00.00  thnuclnt
 33242  jbjerke            ?     ?     N/A    288K       ?   ?     0.0       ?      00:00.00  sh
 30549  jbjerke            ?     ?     N/A     12K       ?   ?     0.0       ?      00:00.00  thnuclnt
 21538  root               ?     ?     N/A   4096B       ?   ?     0.0       ?      00:00.00  vmnet-netifup
 21547  root               ?     ?     N/A   4096B       ?   ?     0.0       ?      00:00.00  vmnet-netifup
